10,0
0,96,0
0,92,0
0,88,0
0,84,0
0,8,0
0,76,0
0,72,0
0,68,0
0,64,0
0,6,0
0,56,0
0,52,0
0,48,0
0,44,0
0,4,0
0,36,0
0,32,0
0,28,0
0,24,0
0,2,0
0,16,0
0,12,0
0,08,0
0,0399999999999999,0
0,0
-0,04,0
-0,0800000000000001,0
-0,12,0
-0,16,0
-0,2,0
-0,24,0
-0,28,0
-0,32,0
-0,36,0
-0,4,0
-0,44,0
-0,48,0
-0,52,0
-0,56,0
-0,6,0
-0,64,34237
-0,68,174251
-0,72,203378
-0,76,199290
-0,8,178850
-0,84,175273
-0,88,153811
-0,92,163520
-0,96,149723
-1,121107
-1,04,134393
-1,08,118552
-1,12,118041
-1,16,139503
-1,2,118041
-1,24,120085
-1,28,109354
-1,32,113442
-1,36,131327
-1,4,100667
-1,44,105266
-1,48,78183
-1,52,98112
-1,56,97601
-1,6,81760
-1,64,78183
-1,68,86870
-1,72,82271
-1,76,77672
-1,8,73584
-1,84,64386
-1,88,85337
-1,92,68474
-1,96,56210
-2,78183
-2,04,59787
-2,08,74606
-2,12,71540
-2,16,71029
-2,2,74606
-2,24,63875
-2,28,58254
-2,32,55699
-2,36,58254
-2,4,57743
-2,44,70518
-2,48,51100
-2,52,65408
-2,56,60298
-2,6,59276
-2,64,59787
-2,68,56721
-2,72,52122
-2,76,62853
-2,8,53655
-2,84,57232
-2,88,47523
-2,92,50078
-2,96,55188
-3,44968
-3,04,49056
-3,08,55699
-3,12,56721
-3,16,44457
-3,2,42924
-3,24,36792
-3,28,50589
-3,32,43946
-3,36,43946
-3,4,54677
-3,44,37814
-3,48,43946
-3,52,30660
-3,56,34748
-3,6,45990
-3,64,50078
-3,68,39858
-3,72,36792
-3,76,50589
-3,8,30660
-3,84,41902
-3,88,44968
-3,92,40880
-3,96,38836
-4,25039
-4,04,49567
-4,08,31682
-4,12,32704
-4,16,41391
-4,2,39347
-4,24,40880
-4,28,42413
-4,32,37814
-4,36,32704
-4,4,33215
-4,44,35770
-4,48,30660
-4,52,35259
-4,56,37814
-4,6,33215
-4,64,30660
-4,68,41391
-4,72,29127
-4,76,40880
-4,8,38325
-4,84,29127
-4,88,34237
-4,92,31171
-4,96,36281
-5,28616
-5,04,31682
-5,08,26572
-5,12,30660
-5,16,37303
-5,2,35770
-5,24,24017
-5,28,46501
-5,32,28105
-5,36,29638
-5,4,29638
-5,44,29638
-5,48,27083
-5,52,31682
-5,56,31682
-5,6,33726
-5,64,33215
-5,68,20440
-5,72,29127
-5,76,21973
-5,8,25550
-5,84,25039
-5,88,25039
-5,92,23506
-5,96,28616
-6,21973
-6,04,20951
-6,08,15841
-6,12,19418
-6,16,17885
-6,2,14819
-6,24,14819
-6,28,11753
-6,32,9709
-6,36,14308
-6,4,4599
-6,44,6643
-6,48,5110
-6,52,6643
-6,56,2555
-6,6,4599
-6,64,2044
-6,68,3066
-6,72,2044
-6,76,3066
-6,8,1022
-6,84,511
-6,88,1533
-6,92,511
-6,96,2555
-7,511
-7,04,1022
-7,08,0
-7,12,0
-7,16,511
-7,2,511
-7,24,0
-7,28,0
-7,32,511
-7,36,0
-7,4,0
-7,44,0
-7,48,0
-7,52,0
-7,56,0
-7,6,0
-7,64,0
-7,68,511
-7,72,0
-7,76,0
-7,8,0
-7,84,0
-7,88,0
-7,92,0
-7,96,0
-8,0
-8,04,0
-8,08,0
-8,12,0
-8,16,0
-8,2,0
-8,24,0
-8,28,0
-8,32,0
-8,36,0
-8,4,0
-8,44,0
-8,48,0
-8,52,0
-8,56,0
-8,6,0
-8,64,511
-8,68,0
-8,72,0
-8,76,0
-8,8,0
-8,84,0
-8,88,0
-8,92,0
-8,96,0
-9,0
-10,0
