# V     PbMean	PbStd	CoinMean CoinStd
1600	67003	1048	5347	100
1650	68264	1189	5388	110
1700	67071	2434	5233	211
1750	70988	487	5518	33
1800	70840	867	5509	102
1850	71009	839	5512	79
1900	69685	864	5426	79
1925	68594	748	5307	50
1950	71340	2041	5527	165
1975	73393	1134	5657	114
2000	72780	1528	5544	129
