15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,10000
-0,57,7500
-0,63,11500
-0,69,7000
-0,75,11500
-0,81,11500
-0,870000000000001,8000
-0,93,4000
-0,990000000000001,11000
-1,05,7500
-1,11,15000
-1,17,4500
-1,23,7000
-1,29,6000
-1,35,10000
-1,41,8500
-1,47,10500
-1,53,3500
-1,59,10000
-1,65,9500
-1,71,13500
-1,77,10000
-1,83,18000
-1,89,8500
-1,95,25000
-2,01,35000
-2,07,12500
-2,13,20500
-2,19,44000
-2,25,67000
-2,31,37000
-2,37,41500
-2,43,103500
-2,49,128000
-2,55,98000
-2,61,108000
-2,67,290500
-2,73,440500
-2,79,313500
-2,85,453500
-2,91,1134500
-2,97,1495500
-3,03,1056000
-3,09,956000
-3,15,1522500
-3,21,762500
-3,27,893000
-3,33,268000
-3,39,394500
-3,45,85500
-3,51,114500
-3,57,48500
-3,63,44000
-3,69,14000
-3,75,20000
-3,81,11000
-3,87,2500
-3,93,2500
-3,99,2000
-4,05,500
-4,11,0
-4,17,0
-4,23,0
-4,29,0
-4,35,1500
-4,41,500
-4,47,500
-4,53,500
-4,59,0
-4,65,500
-4,71,0
-4,77,500
-4,83,500
-4,89,0
-4,95,1000
-5,01,1000
-5,07,1500
-5,13,1500
-5,19,2500
-5,25,1000
-5,31,6500
-5,37,5000
-5,43,8000
-5,49,8000
-5,55,3000
-5,61,11000
-5,67,10500
-5,73,8500
-5,79,28000
-5,85,16000
-5,91,25500
-5,97,17000
-6,03,9000
-6,09,9500
-6,15,5000
-6,21,2500
-6,27,3500
-6,33,500
-6,39,1500
-6,45,0
-6,51,0
-6,57,0
-6,63,0
-6,69,500
-6,75,0
-6,81,0
-6,87,0
-6,93,0
-6,99,500
-7,05,500
-7,11,0
-7,17,0
-7,23,0
-7,29,0
-7,35,0
-7,41,500
-7,47,500
-7,53,0
-7,59,0
-7,65,0
-7,71,0
-7,77,1000
-7,83,1000
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
