15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,3500
-0,57,5000
-0,63,8000
-0,69,2500
-0,75,6000
-0,81,2500
-0,870000000000001,3500
-0,93,1500
-0,990000000000001,7000
-1,05,4000
-1,11,3500
-1,17,3000
-1,23,2500
-1,29,3500
-1,35,6500
-1,41,4500
-1,47,6500
-1,53,2500
-1,59,4000
-1,65,3000
-1,71,6500
-1,77,6000
-1,83,6000
-1,89,6000
-1,95,12500
-2,01,15000
-2,07,10000
-2,13,13500
-2,19,21500
-2,25,27000
-2,31,15500
-2,37,12500
-2,43,58000
-2,49,62500
-2,55,54000
-2,61,45000
-2,67,144000
-2,73,204500
-2,79,145500
-2,85,203500
-2,91,555000
-2,97,722500
-3,03,547500
-3,09,541500
-3,15,884500
-3,21,454500
-3,27,537500
-3,33,169500
-3,39,217000
-3,45,51500
-3,51,52500
-3,57,14500
-3,63,12000
-3,69,2500
-3,75,2000
-3,81,1000
-3,87,0
-3,93,0
-3,99,500
-4,05,0
-4,11,0
-4,17,0
-4,23,500
-4,29,0
-4,35,0
-4,41,0
-4,47,500
-4,53,500
-4,59,1000
-4,65,0
-4,71,500
-4,77,0
-4,83,0
-4,89,0
-4,95,0
-5,01,1000
-5,07,1500
-5,13,1000
-5,19,1000
-5,25,0
-5,31,1000
-5,37,1000
-5,43,2500
-5,49,1500
-5,55,2000
-5,61,3500
-5,67,2500
-5,73,2500
-5,79,9500
-5,85,4000
-5,91,12500
-5,97,12000
-6,03,5000
-6,09,7500
-6,15,3500
-6,21,3500
-6,27,1000
-6,33,2500
-6,39,1000
-6,45,0
-6,51,0
-6,57,0
-6,63,0
-6,69,0
-6,75,0
-6,81,0
-6,87,0
-6,93,0
-6,99,0
-7,05,0
-7,11,0
-7,17,0
-7,23,0
-7,29,0
-7,35,0
-7,41,0
-7,47,500
-7,53,0
-7,59,0
-7,65,0
-7,71,0
-7,77,0
-7,83,500
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
